Date,Women,Men
11/29/2017,14,33
11/30/2017,17,32
12/1/2017,15,26
12/2/2017,19,33
12/3/2017,17,37
12/4/2017,19,32
12/5/2017,17,32
12/6/2017,21,51
12/7/2017,20,56
12/8/2017,19,60
12/9/2017,20,73
12/10/2017,22,71
12/11/2017,24,86
12/12/2017,23,84
12/13/2017,24,38
12/14/2017,19,47
12/15/2017,16,48
12/16/2017,25,53
12/17/2017,23,48
12/18/2017,20,44
12/19/2017,26,45
12/20/2017,25,80
12/21/2017,24,91
12/22/2017,26,74
12/23/2017,24,67
12/24/2017,21,69
12/25/2017,24,76
12/26/2017,31,83
12/27/2017,25,89
12/28/2017,21,83
12/29/2017,18,60
12/30/2017,26,71
12/31/2017,24,86
1/1/2018,25,89
1/2/2018,22,84
1/3/2018,24,86
1/4/2018,27,105
1/5/2018,28,94
1/6/2018,29,94
1/7/2018,27,88
1/8/2018,25,97
1/9/2018,28,88
1/10/2018,22,80
1/11/2018,27,71
1/12/2018,26,71
1/13/2018,26,74
1/14/2018,24,76
1/15/2018,30,76
1/16/2018,24,79
