"","episode","season","number","episodenbr","title","weekday","broadcastdate","broadcasthour","duration","viewsinM","share","AI","chart","rating","nbr_votes","episodeid","first_diffusion","doctorid"
"1","1-1",1,1,"697","ROSE","SAT","26-MAR-05","7:00PM","0:44:14",10.81,"44.80%",76,7,7.6,6504,"27-1","26 MAR, 2005","9"
"2","1-2",1,2,"698","THE END OF THE WORLD","SAT","2-APR-05","6:59PM","0:44:45",7.97,"37.80%",76,19,7.6,5684,"27-2","2 APR, 2005","9"
"3","1-3",1,3,"699","THE UNQUIET DEAD","SAT","9-APR-05","7:00PM","0:44:50",8.86,"37.80%",80,15,7.6,5326,"27-3","9 APR, 2005","9"
"4","1-4",1,4,"700","ALIENS OF LONDON","SAT","16-APR-05","7:00PM","0:45:05",7.63,"35.70%",82,18,7,5116,"27-4","16 APR, 2005","9"
"5","1-5",1,5,"701","WORLD WAR THREE","SAT","23-APR-05","7:01PM","0:40:40",7.98,"40.20%",81,20,7.1,4943,"27-5","23 APR, 2005","9"
"6","1-6",1,6,"702","DALEK","SAT","30-APR-05","6:59PM","0:45:20",8.63,"44.90%",84,14,8.7,5636,"27-6","30 APR, 2005","9"
"7","1-7",1,7,"703","THE LONG GAME","SAT","7-MAY-05","7:00PM","0:44:25",8.01,"40.40%",81,17,7.2,4872,"27-7","7 MAY, 2005","9"
"8","1-8",1,8,"704","FATHER'S DAY","SAT","14-MAY-05","7:01PM","0:42:50",8.06,"44.40%",83,17,8.4,5433,"27-8","14 MAY, 2005","9"
"9","1-9",1,9,"705","THE EMPTY CHILD","SAT","21-MAY-05","6:29PM","0:41:50",7.11,"37.00%",84,21,9.2,6659,"27-9","21 MAY, 2005","9"
"10","1-10",1,10,"706","THE DOCTOR DANCES","SAT","28-MAY-05","6:59PM","0:42:50",6.86,"39.00%",85,18,9.1,6108,"27-10","28 MAY, 2005","9"
"11","1-11",1,11,"707","BOOM TOWN","SAT","4-JUN-05","7:01PM","0:43:15",7.68,"39.00%",82,18,7.2,4631,"27-11","4 JUN, 2005","9"
"12","1-12",1,12,"708","BAD WOLF","SAT","11-JUN-05","7:00PM","0:42:50",6.81,"37.90%",86,19,8.7,5314,"27-12","11 JUN, 2005","9"
"13","1-13",1,13,"709","THE PARTING OF THE WAYS","SAT","18-JUN-05","6:59PM","0:45:30",6.91,"44.00%",89,17,9.1,5788,"27-13","18 JUN, 2005","9"
"14","2-0",2,0,"710","THE CHRISTMAS INVASION","SUN","25-DEC-05","7:02PM","0:58:55",9.84,"43.50%",84,9,8.2,5291,"28-0","25 DEC, 2005","10"
"15","2-1",2,1,"711","NEW EARTH","SAT","15-APR-06","7:16PM","0:44:05",8.62,"40.20%",85,9,7.5,4891,"28-1","15 APR, 2006","10"
"16","2-2",2,2,"712","TOOTH AND CLAW","SAT","22-APR-06","7:18PM","0:44:30",9.24,"42.90%",83,10,7.9,5041,"28-2","22 APR, 2006","10"
"17","2-3",2,3,"713","SCHOOL REUNION","SAT","29-APR-06","7:23PM","0:44:10",8.31,"41.60%",85,12,8.4,5397,"28-3","29 APR, 2006","10"
